Covidence #,Topics,Databases used,Grey Literature,Unique,UniquePercentNoGrey,UniquePercent,Includes,DatabaseIncludesPercent,GreyLiteratureIncludesPercent,Other sources searched,MedlineAverage,Medline,PubMed,CINAHL,Cochrane Library,Cochrane Central,Embase,ERIC,PEDro,PsycINFO,Scopus,Web of Science,ABI/INFORM,Academic Search Complete,Academic Search Premier,ACM,ACP,AEI,AESC,AgeLine,Agricola,AGRIS,AHM,AIM,Airiti,AJOL,AMED,Annual Review,Anthropology Plus,ASSIA,ASTS,ASU,ATLA,AUSPORT,AWI,BanglaJol,BAS,BBO,BDENF,BEI,Biological Abstracts,BIOSIS,BMC,BNI,BrainMap,BSC,Business Source Complete,Business Source Elite,Business Source Premier,BVS,BVS Vet,CAB,CABI,Cairn,CAJ,Capes Periodicos,CBCA,CBM,CDAS,CDSR,CEA,CEBAM,Chaoxing,CiNii,CJA,ClinicalKey,CMAD,CNKI,COAP,COHG,Communication Source,Communications and Mass Media Complete,Compendex,CoronaCentral,Coronavirus Research Database,CPI,CRD,CUIDEN,DARE,Dbpia,Dialnet,DOAJ,DOSS,EAA,EBM Reviews,EconBiz,EconLit,EconPapers,Education Full Text,Education Research Complete,Education Source,EKB,eLibrary.ru,Emcare,Emerald,EMF,ENFISPO,Engineering Village,Environment Complete,Epistemonikos,ERN,Erudit,ESCI,Europe PMC,FSTA,Garuda,Gender Studies,GenderWatch,GHL,GIM,Global Health,Greenfile,HAMC,HAPI,Health Research Premium,Health Source,HealthSTAR,HEED,HFT,HII,Hinari,Historical Abstracts,HMIC,HPRC,IASJ,IBECS,IBSS,IBTD,Ichushi-Web,ICL,IDEAS,IEEE Xplore,IMBIOMED,IMEMR,IMSEAR,Index Islamicus,IndexPsi,Inspec,IPA,IranMedex,ISJD,JBI,JMEDPlus,Journals@Ovid,JSTOR,Jurn,KCI,KISS,KMbase,KoreaMed,KTKP,LGBTQ+ Source,LILACS,LISSA,LISTA,LitCovid,LIVIVO,LLBA,LOVE,Magiran,MasterFILE,Maternity and Infant Care,MDPI,Medes,Medic,MedicLatina,MINERVA,MLAIB,MPD,NAHC,NCJRS,NCL,NDSL,NHS EED,NTIS,OASIS,OSTMED,OTseeker,Ovid Nursing,PakMediNet,PBSC,PEDE,PEI,PePsic,PHD,Philosopher's Index,PLOS,PMC,Popline,PreMedline,Proquest Central,Proquest Education Database,Proquest Health & Medical,Proquest Nursing & Allied Health,Proquest Psychology Database,Proquest Sociology,PSICODOC,PsycARTICLES,PsycNet,PSYNDEX,PTSDpubs,PubPsych,PubSpace,Qikan,Redalyc,REDIB,REHABDATA,REPEC,Retraction Watch,RILM,RRA,RSMS,Rx for Change,Sage,Saudi Digital Library,ScHARRHUD,SCI,SciELO,Science.gov,ScienceDirect,ScienceON,Scilit,SID,Sinomed,SMEI,SocINDEX,Sociological Abstracts,speechBITE,SPIE,SPORTDiscus,SPP,Springer,SSA,SSCI,SSD,SSFT,SSPC,STC,SURF,SveMed,SWA,TANDF,Teacher Reference Center,TEL,ThaiJo,TRDizin,TRID,Trip,VIP,Virology and AIDS Abstracts,Wanfang,WAO,WHO COVID,WIKISTIM,Wiley,WorldWideScience,WPRIM,WSI,Yiigle
5492,Allied Health; Medicine; Geriatrics and gerontology; Oral and gastrointestinal; Audiology and speech-language pathology,Embase; LILACS; LIVIVO; Scopus; Web of Science,435,3417,57%,57%,12,0%,0%,"Citation searching (forward or backward); General grey literature search tools (OpenGrey, SIGLE, etc); Personal communication; Scholarly search engines (Google Scholar, ResearchGate, etc); Updates or alerts",2096,,2096,,,,627,,,,1194,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9932,Allied Health; Medicine; Musculoskeletal; Sleep; Audiology and speech-language pathology,CNKI; Cochrane Library; Web of Science,,1620,91%,91%,9,1%,1%,,856,,856,,119,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3280,Allied Health; Medicine; Neurological; Audiology and speech-language pathology,Cochrane Central; Cochrane Library; Web of Science,34,1103,69%,69%,33,2%,2%,Previous reviews,585,,585,,50,172,,,,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Allied Health; Medicine; Neurological; Audiology and speech-language pathology,Cochrane Library; Embase,1,833,70%,70%,9,1%,1%,Trial registries,236,,236,,474,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11833,Allied Health; Medicine; Neurological; Audiology and speech-language pathology,ASU; CDSR; CINAHL; Communication Source; Embase; JBI; PsycINFO; Trip,24,545,55%,55%,21,2%,2%,Citation searching (forward or backward); Previous reviews,114,108,119,55,,,460,,,55,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,
16690,Allied Health; Medicine; Neurological; Audiology and speech-language pathology,Cochrane Central; Embase; Web of Science,12,405,85%,85%,11,2%,2%,"Scholarly search engines (Google Scholar, ResearchGate, etc)",179,,179,,,4,209,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11255,Allied Health; Medicine; Neurological; Audiology and speech-language pathology,ACM; IEEE Xplore; ScienceDirect; Springer; Web of Science,,,,,25,0%,0%,,199,,199,,,,,,,,,25,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4046,,,,,,,,,,,,4638,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,Allied Health; Medicine; Oral and gastrointestinal; Audiology and speech-language pathology,CINAHL; Cochrane Library; Embase; Web of Science,,1401,86%,86%,8,0%,0%,,99,,99,186,159,,161,,,,,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Allied Health; Medicine; Respiratory; Surgery; Audiology and speech-language pathology,CINAHL; Cochrane Library; Embase; Emcare; HPRC; PsycINFO,,3323,53%,53%,6,0%,0%,,2125,2125,,466,85,,2709,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Allied Health; Medicine; Stroke; Audiology and speech-language pathology,CINAHL; Cochrane Library; PsycINFO; speechBITE,250,366,82%,82%,21,5%,3%,"Citation searching (forward or backward); Previous reviews; Scholarly search engines (Google Scholar, ResearchGate, etc)",241,241,,68,12,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170,Allied Health; Medicine; Stroke; Audiology and speech-language pathology,Embase; LLBA; PsycINFO; Web of Science,33,1802,79%,79%,21,1%,1%,Citation searching (forward or backward); Previous reviews,630,630,,,,,342,,,195,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Allied Health; Audiology and speech-language pathology,CINAHL; Cochrane Library; SciELO; ScienceDirect,12,7042,100%,100%,1,0%,0%,"Citation searching (forward or backward); General grey literature search tools (OpenGrey, SIGLE, etc); Theses or dissertations",433,,433,137,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,,5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Allied Health; Audiology and speech-language pathology,Cochrane Library; Embase; LILACS; Scopus; Web of Science,300,712,57%,57%,45,4%,3%,"Citation searching (forward or backward); Personal communication; Scholarly search engines (Google Scholar, ResearchGate, etc); Theses or dissertations; Updates or alerts",232,,232,,20,,234,,,,254,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Allied Health; Audiology and speech-language pathology,CINAHL; Cochrane Library; Embase; Web of Science,205,1468,76%,76%,23,1%,1%,"Scholarly search engines (Google Scholar, ResearchGate, etc); Updates or alerts",614,614,,28,149,,837,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17002,Allied Health; Audiology and speech-language pathology,Scopus; speechBITE,2,371,77%,77%,11,2%,2%,"Scholarly search engines (Google Scholar, ResearchGate, etc)",226,,226,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6039,Allied Health; Audiology and speech-language pathology,CINAHL; PsycINFO,4,1182,70%,70%,42,2%,2%,Citation searching (forward or backward),781,781,,637,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3171,Allied Health; Audiology and speech-language pathology,ERIC; PsycINFO; Scopus; Web of Science,12,1279,74%,74%,26,2%,1%,Citation searching (forward or backward),429,,429,,,,,190,,244,350,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833,Allied Health; Audiology and speech-language pathology,BBO; CINAHL; Cochrane Library; Embase; LILACS; Scopus; Web of Science,,274,52%,52%,14,3%,3%,,137,,137,48,56,,39,,,,121,117,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4461,Allied Health; Dentistry; Audiology and speech-language pathology,Cochrane Library; Embase; LILACS; Scopus; Web of Science,304,715,59%,59%,19,2%,1%,"General grey literature search tools (OpenGrey, SIGLE, etc); Personal communication; Scholarly search engines (Google Scholar, ResearchGate, etc); Theses or dissertations",294,,294,,50,,427,,,,273,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7771,Allied Health; Engineering; Audiology and speech-language pathology,ACM; CINAHL; Cochrane Library; IEEE Xplore; LLBA; PsycINFO; Scopus,3,171,84%,84%,8,4%,4%,Citation searching (forward or backward),45,,45,69,1,,,,,1,52,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5687,Allied Health; Engineering; Audiology and speech-language pathology,CDSR; IEEE Xplore; Scopus; Web of Science,228,526,87%,87%,30,5%,4%,"Scholarly search engines (Google Scholar, ResearchGate, etc)",74,,74,,,,,,,,124,219,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651,Allied Health; Audiology and speech-language pathology; Occupational therapy; Physiotherapy,CINAHL; Cochrane Library; PsycINFO,25,4643,94%,94%,57,1%,1%,Citation searching (forward or backward),3520,,3520,473,760,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Allied Health; Medicine; Blood and hematology; General and public health and safety; Dietetics,CINAHL; Embase; LILACS; Web of Science,,879,77%,77%,18,2%,2%,,386,,386,21,,,492,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Allied Health; Medicine; Blood and hematology; Pediatrics and neonatology; Dietetics,Embase; LILACS; Scopus; Web of Science,,428,64%,64%,7,1%,1%,,271,271,,,,,234,,,,39,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12559,Allied Health; Medicine; Blood and hematology; Pediatrics and neonatology; Dietetics,Embase,,267,98%,98%,11,4%,4%,,182,,182,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7129,Allied Health; Medicine; Blood and hematology; Reproductive health and childbirth; Dietetics,Capes Periodicos; Embase; LILACS; SciELO; Scopus; Web of Science,1021,2118,102%,68%,37,2%,1%,"Scholarly search engines (Google Scholar, ResearchGate, etc)",355,355,,,,,675,,,,259,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Allied Health; Medicine; Cancer; Dietetics,CINAHL; Cochrane Library; Embase; Scopus; Web of Science,499,310,23%,23%,7,1%,0%,Algorithmic and visualization tools; Citation searching (forward or backward),932,,932,164,137,,61,,,,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19540,Allied Health; Medicine; Cancer; Dietetics,CINAHL; Cochrane Library; Embase; Web of Science,1,645,44%,44%,13,1%,1%,"Hand searching (specific journals, conferences, websites)",238,226,249,110,58,,481,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14323,Allied Health; Medicine; Cancer; Dietetics,CDSR; Scopus; Web of Science,3,67,49%,49%,8,6%,6%,Citation searching (forward or backward),27,,27,,,,,,,,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Allied Health; Medicine; Cancer; Dietetics,Web of Science,18,6414,68%,68%,41,0%,0%,Previous reviews,4162,,4162,,,,,,,,,5296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Allied Health; Medicine; Cancer; Dietetics,Cochrane Central; Embase; Emcare; Web of Science,2,1327,56%,56%,7,0%,0%,Citation searching (forward or backward),529,480,578,,,331,481,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Allied Health; Medicine; Cancer; Dietetics,Scopus; Web of Science,8,1108,86%,86%,59,5%,5%,Citation searching (forward or backward),399,,399,,,,,,,,567,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Allied Health; Medicine; Cancer; Dietetics,Cochrane Central; Embase,29,227,105%,93%,12,6%,5%,Citation searching (forward or backward); Guidelines; Trial registries,77,,77,,,8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Allied Health; Medicine; Cancer; Dietetics,Embase; Web of Science,4,13096,83%,83%,15,0%,0%,"Citation searching (forward or backward); Hand searching (specific journals, conferences, websites); Scholarly search engines (Google Scholar, ResearchGate, etc)",6111,,6111,,,,6408,,,,,3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
